"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
72,"1.12274532019273","-0.661780400229998","-2.28277460524224",-1.16002928504951,-2.94455500547224
73,"1.22629321659056","-0.744848516704936","-2.15000241184962",-0.92370919525906,-2.89485092855456
74,"1.19421800843386","-0.604458868978666","-2.17069603041627",-0.97647802198241,-2.77515489939494
75,"1.25666285640684","-0.604458868978669","-2.17069603041627",-0.91403317400943,-2.77515489939494
76,"1.20405583453275","-0.563228512678475","-2.14844204532954",-0.94438621079679,-2.71167055800801
77,"1.24307282072304","-0.563228512678478","-2.14844204532954",-0.9053692246065,-2.71167055800802
78,"1.10720891984358","-0.436346408073547","-2.19298246849721",-1.08577354865363,-2.62932887657076
79,"1.23263119538154","-0.501595099153909","-2.17007770725523",-0.93744651187369,-2.67167280640914
80,"1.4953091025843","-0.774993398284048","-1.86991822460422",-0.37460912201992,-2.64491162288827
81,"1.7504489298713","-0.96221523842608","-1.69967218051312",0.0507767493581799,-2.6618874189392
82,"1.58212479773983","-0.791718320092948","-1.76139979593396",-0.17927499819413,-2.55311811602691
83,"1.70627776216682","-0.862178501737967","-1.72851917751901",-0.0222414153521902,-2.59069767925698
84,"1.49457639853781","-0.66269884440572","-1.76631753713197",-0.27174113859416,-2.42901638153769
85,"1.63353959524367","-0.66269884440572","-1.76631753713197",-0.1327779418883,-2.42901638153769
86,"1.37050018420628","-0.381059258795433","-1.90079214452184",-0.53029196031556,-2.28185140331727
87,"1.47861057597814","-0.363377032796341","-1.90923488666639",-0.43062431068825,-2.27261191946273
88,"1.42512071447492","-0.309602552159315","-1.86771441601084",-0.44259370153592,-2.17731696817015
89,"1.53425810107895","-0.309602552159317","-1.86771441601083",-0.33345631493188,-2.17731696817015
90,"2.55162158049303","-1.33452261200084","-0.90568437859537",1.64593720189766,-2.24020699059621
