"","Banks$Tone"
"1299",NA
"1300",NA
"1301",NA
"1302",NA
"1303",-0.333333333333333
"1304",NA
"1305",NA
"1306",-1
"1307",0
"1308",1
"1309",NA
"1310",NA
"1311",-1
"1312",NA
"1313",NA
"1314",NA
"1315",1
"1316",1
"1317",1
"1318",NA
"1319",NA
"1320",NA
"1321",1
"1322",NA
"1323",-1
"1324",NA
"1325",0.333333333333333
"1326",NA
"1327",1
"1328",1
"1329",NA
"1330",NA
"1331",NA
"1332",1
"1333",1
"1334",NA
"1335",-0.333333333333333
"1336",1
"1337",-1
"1338",0
"1339",NA
"1340",NA
"1341",1
"1342",1
"1343",NA
"1344",1
"1345",1
"1346",1
"1347",-1
"1348",NA
"1349",-1
"1350",-1
"1351",1
"1352",NA
"1353",NA
"1354",NA
"1355",1
"1356",NA
"1357",NA
"1358",NA
"1359",0.2
"1360",NA
"1361",1
"1362",NA
"1363",NA
"1364",-1
"1365",1
"1366",NA
"1367",1
"1368",1
"1369",1
"1370",NA
"1371",NA
"1372",NA
"1373",NA
"1374",NA
"1375",NA
"1376",NA
"1377",NA
"1378",NA
"1379",-1
"1380",NA
"1381",NA
"1382",NA
"1383",NA
"1384",NA
"1385",NA
"1386",NA
"1387",NA
"1388",NA
"1389",NA
"1390",NA
"1391",NA
"1392",-0.333333333333333
"1393",-1
"1394",NA
"1395",NA
"1396",NA
"1397",NA
"1398",1
"1399",NA
"1400",NA
"1401",NA
"1402",NA
"1403",1
"1404",-1
"1405",NA
"1406",-0.5
"1407",NA
"1408",NA
"1409",1
"1410",NA
"1411",1
"1412",-1
"1413",1
"1414",NA
"1415",1
"1416",NA
"1417",1
"1418",NA
"1419",NA
"1420",0
"1421",1
"1422",NA
"1423",1
"1424",1
"1425",NA
"1426",NA
"1427",NA
"1428",NA
"1429",NA
"1430",NA
"1431",NA
"1432",1
"1433",NA
"1434",NA
"1435",1
"1436",1
"1437",NA
"1438",1
"1439",-1
"1440",NA
"1441",NA
"1442",NA
"1443",NA
"1444",NA
"1445",NA
"1446",NA
"1447",NA
"1448",1
"1449",NA
"1450",NA
"1451",1
"1452",1
"1453",1
"1454",1
"1455",NA
"1456",NA
"1457",NA
"1458",NA
"1459",1
"1460",NA
"1461",NA
