"Group.1","Group.2","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"Yes","1995-Q2",0.666666666666667,0.733333333333333,0.277777777777778,0.0476190476190476
"Yes","1995-Q3",0.333333333333333,1,0.6,-0.333333333333333
"Yes","1995-Q4",0.555555555555555,1,0.644444444444444,-0.444444444444444
"Yes","1996-Q1",1,1,0.0166666666666668,0
"No","1996-Q2",NA,1,0.4,NA
"Yes","1996-Q2",0.838888888888889,0.816666666666667,1,-0.6
"No","1996-Q3",1,NA,NA,NA
"Yes","1996-Q3",-1,-1,1,NA
"No","1996-Q4",0,0,1,1
"Yes","1996-Q4",0.0666666666666666,0.666666666666667,-1,-1
"No","1997-Q1",1,NA,-0.3125,0.333333333333333
"Yes","1997-Q1",0.727272727272727,1,0.666666666666667,-1
"No","1997-Q2",0.785714285714286,0.52,-0.19047619047619,-1
"Yes","1997-Q2",0.4375,0.783333333333333,0.273809523809524,-0.25
"No","1997-Q3",0.672727272727273,0.5,-0.833333333333333,NA
"Yes","1997-Q3",0.416666666666667,0.777777777777778,0.333333333333333,-0.333333333333333
"No","1997-Q4",1,NA,-0.222222222222222,0
"Yes","1997-Q4",0.444444444444444,1,-0.166666666666667,0.428571428571429
"No","1998-Q1",0.636363636363636,0.544444444444445,-0.417582417582418,0.333333333333333
"Yes","1998-Q1",0.650660450660451,0.683333333333333,0.666666666666667,0.111111111111111
"No","1998-Q2",0.666666666666667,0.366666666666667,-0.17288961038961,-0.166666666666667
"Yes","1998-Q2",-0.35,1,0.466666666666667,1
"No","1998-Q3",0.92,1,0.0619047619047618,1
"Yes","1998-Q3",0.916666666666667,0.558333333333333,0.24,NA
"No","1998-Q4",0.875,-0.24,-0.283950617283951,1
"Yes","1998-Q4",0.625,-0.00952380952380958,0.46,-1
"No","1999-Q1",0.942857142857143,0.166666666666667,-0.0208333333333333,0.166666666666666
"Yes","1999-Q1",0.657142857142857,0.837301587301587,0.471428571428571,0
"No","1999-Q2",0.868343195266272,-0.141025641025641,-0.650793650793651,1
"Yes","1999-Q2",0.667952249770432,1,0.5,-1
"No","1999-Q3",1,-0.0625,0.238095238095238,NA
"Yes","1999-Q3",0.792592592592593,1,0.272727272727273,NA
"No","1999-Q4",0.5,0.777777777777778,0.186666666666667,-1
"Yes","1999-Q4",0.64040404040404,0.598445998445998,0.728571428571429,1
"No","2000-Q1",0.962962962962963,0.166666666666667,0.185185185185185,1
"Yes","2000-Q1",0.651428571428571,0.470833333333333,0.5,0
"No","2000-Q2",0.923076923076923,0.806060606060606,0.444444444444444,1
"Yes","2000-Q2",0.770833333333333,0.552380952380952,0.382395382395382,1
"No","2000-Q3",1,1,0.0833333333333335,NA
"Yes","2000-Q3",0.840136054421769,0.714285714285714,0.355555555555556,-1
"No","2000-Q4",0.866666666666667,0.755555555555556,0.214285714285714,-1
"Yes","2000-Q4",0.87,0.785714285714286,1,1
"No","2001-Q1",0.3,0.423076923076923,-0.338095238095238,NA
"Yes","2001-Q1",0.380952380952381,0.459259259259259,-0.0571428571428572,-1
"No","2001-Q2",0.827777777777778,0.563492063492063,-0.328924162257496,0.5
"Yes","2001-Q2",0.575757575757576,0.791666666666667,0.387755102040816,1
"No","2001-Q3",0.5,0.4,0.8,-1
"Yes","2001-Q3",0,0.56,0,-1
"No","2001-Q4",0.25,0.571428571428571,0.167857142857143,0
"Yes","2001-Q4",0.2,-0.0222222222222222,0.466666666666667,-1
"No","2002-Q1",0.727272727272727,0.725925925925926,-0.134199134199134,-1
"Yes","2002-Q1",0.424242424242424,0.0204761904761904,-0.0666666666666667,0.5
"No","2002-Q2",1,1,0.148484848484848,NA
"Yes","2002-Q2",0.833333333333333,0.52,0.523809523809524,1
"No","2002-Q3",-1,0.666666666666667,0.625,1
"Yes","2002-Q3",-0.2,1,0.833333333333333,NA
"No","2002-Q4",0.756410256410256,0.844155844155844,0.27563025210084,-0.833333333333333
"Yes","2002-Q4",0.504761904761905,0.834415584415584,0.925925925925926,-0.2
"No","2003-Q1",0.616326530612245,0.875,-0.409090909090909,-1
"Yes","2003-Q1",0.314285714285714,0.79047619047619,-0.333333333333333,-1
"No","2003-Q2",0.80952380952381,0.851851851851852,-0.646167557932264,0
"Yes","2003-Q2",0.266666666666667,0.565972222222222,-0.0666666666666667,1
"No","2003-Q3",0.942857142857143,0.303921568627451,-0.16,-1
"Yes","2003-Q3",-0.298412698412699,1,1,-1
"No","2003-Q4",0.330687830687831,0.393333333333333,-0.304444444444444,-0.333333333333333
"Yes","2003-Q4",-0.19047619047619,0.678787878787879,0.666666666666667,-0.25
"No","2004-Q1",0.444444444444444,0.292997198879552,-0.150793650793651,-0.6
"Yes","2004-Q1",0.293650793650794,0.833333333333333,1,-1
"No","2004-Q2",0.164257481648786,0.598958333333333,-0.233333333333333,-0.6
"Yes","2004-Q2",-0.102941176470588,0.415079365079365,0.376623376623377,0
"No","2004-Q3",0.0476190476190477,0.430555555555555,-1,0
"Yes","2004-Q3",0.266666666666667,0.422222222222222,1,1
"No","2004-Q4",-0.19047619047619,0.283333333333333,-0.316666666666667,-0.6
"Yes","2004-Q4",0.367099567099567,0.345238095238095,0.777777777777778,1
"No","2005-Q1",0.26031746031746,0.27591706539075,-0.325602968460111,0.196581196581197
"Yes","2005-Q1",0.488888888888889,0.0674603174603174,0,0.542857142857143
"No","2005-Q2",0.221445221445221,0.691818181818182,-0.101443001443001,0.333333333333333
"Yes","2005-Q2",0.766081871345029,0.266666666666667,0.821499013806706,0.466666666666667
"No","2005-Q3",-0.0333333333333334,0.666666666666667,-0.203571428571429,1
"Yes","2005-Q3",0.714285714285715,0.5,0.142857142857143,1
"No","2005-Q4",0.307692307692308,0.0977777777777778,-0.161870808929632,-0.5
"Yes","2005-Q4",0.753846153846154,0.541666666666667,0.5,-0.777777777777778
"No","2006-Q1",0.666666666666667,0.5,0.0566666666666666,1
"Yes","2006-Q1",0.748484848484848,0.823529411764706,1,0.666666666666667
"No","2006-Q2",0.666666666666667,0.648148148148148,0.137756132756133,1
"Yes","2006-Q2",0.62037037037037,0.75,-0.142857142857143,-0.75
"No","2006-Q3",1,1,-0.277777777777778,NA
"Yes","2006-Q3",-0.5,1,1,-1
"No","2006-Q4",0.72,-0.0476190476190476,-0.214814814814815,0.777777777777778
"Yes","2006-Q4",0.524795717103409,0.544444444444444,-0.8,-1
"No","2007-Q1",0.5,0.560846560846561,-0.0808441558441558,NA
"Yes","2007-Q1",0.804785095856524,-0.431578947368421,0.642857142857143,-0.5
"No","2007-Q2",0.512820512820513,0.27,-0.160606060606061,0.5
"Yes","2007-Q2",0.571428571428571,-0.788888888888889,0.875,-1
"No","2007-Q3",0.333333333333333,1,-0.369047619047619,0
"Yes","2007-Q3",0.589277389277389,0.0916666666666666,-0.58421052631579,NA
"No","2007-Q4",-0.037037037037037,0.4,-0.466507936507936,1
"Yes","2007-Q4",0.285714285714286,0.6,-0.854166666666667,NA
"No","2008-Q1",0.305555555555556,-0.333333333333333,-0.530769230769231,NA
"Yes","2008-Q1",-0.411764705882353,0.666666666666667,-0.796296296296296,NA
"No","2008-Q2",0.257575757575758,-0.333333333333333,-0.329458450046685,-1
"Yes","2008-Q2",0.333333333333333,0.666666666666667,-1,-1
"No","2008-Q3",-1,NA,-0.236507936507936,NA
"Yes","2008-Q3",-0.571428571428571,-0.1,-0.555555555555556,NA
"No","2008-Q4",0.722222222222222,-0.25,-0.251851851851852,-1
"Yes","2008-Q4",-0.285714285714286,1,-0.0547619047619047,1
"No","2009-Q1",1,1,-0.0412698412698412,NA
"Yes","2009-Q1",0.166666666666667,0.384615384615385,-0.236666666666667,0.833333333333333
"No","2009-Q2",0.619047619047619,0.303030303030303,-0.0610966810966812,0.333333333333333
"Yes","2009-Q2",0.125,1,0.388888888888889,NA
"No","2009-Q3",-0.416666666666667,-0.333333333333333,-0.0277777777777779,NA
"Yes","2009-Q3",0.0518518518518519,0.333333333333333,-0.276262626262626,1
"No","2009-Q4",0.226190476190476,0.2,-0.146984126984127,0.75
"Yes","2009-Q4",-0.666666666666667,0.625,0.123809523809524,0.333333333333333
"No","2010-Q1",0,0.142857142857143,0.0230769230769231,0
"Yes","2010-Q1",-0.666666666666667,0.716666666666667,-0.59,-0.555555555555556
"No","2010-Q2",0.333333333333333,0.37037037037037,0.120879120879121,-0.5
"Yes","2010-Q2",0.194117647058824,0.478571428571429,-0.637037037037037,0.25
"No","2010-Q3",0.0972222222222222,0.5,-0.225,0.5
"Yes","2010-Q3",-0.107142857142857,0.36,-0.696969696969697,-0.657142857142857
"No","2010-Q4",0.513605442176871,0.333333333333333,-0.0625,0.65
"Yes","2010-Q4",0.134807256235828,0.555555555555556,0.333333333333333,-0.555555555555556
"No","2011-Q1",0.0624338624338624,0.514285714285714,0.0482517482517483,-1
