Group.1,Group.2,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Dummy
Yes,1985-Q1,0.367857143,-0.085714286,1,0.277777778,B
Yes,1985-Q2,0.222222222,-0.033333333,0.5,0.79047619,B
Yes,1985-Q3,0.333333333,-1,-0.083333333,-0.2,B
Yes,1985-Q4,0.783333333,0.942857143,0.166666667,-0.018518519,B
Yes,1986-Q1,0.866666667,-0.5,-1,0.411111111,B
Yes,1986-Q2,1,1,0.125,1,B
Yes,1986-Q3,0.708333333,1,-1,-0.416666667,B
Yes,1986-Q4,0.666666667,0.611111111,0,0.466666667,B
Yes,1987-Q1,0.7,-0.07,0.412698413,-0.8,C
Yes,1987-Q2,0.166666667,-0.2,1,0.5,C
Yes,1987-Q3,1,-1,0.666666667,0,C
Yes,1987-Q4,0.9375,0.553571429,0.181818182,-0.708333333,C
Yes,1988-Q1,0.311111111,-0.444444444,-0.617777778,-0.5,C
Yes,1988-Q2,0.333333333,NA,-0.5,-1,C
Yes,1988-Q3,0.333333333,1,NA,-1,C
Yes,1988-Q4,1,1,-1,-0.259259259,C
Yes,1989-Q1,0.060606061,-0.06,0.333333333,-0.977777778,C
Yes,1989-Q2,-0.6,0.528571429,-0.238095238,-0.5,C
Yes,1989-Q3,-0.5,-0.666666667,NA,1,C
Yes,1989-Q4,0.261904762,0.444444444,0,1,C
Yes,1990-Q1,0.619047619,0.285714286,-0.366666667,0.119047619,C
Yes,1990-Q2,0.561904762,0.714285714,-0.284848485,0.333333333,C
Yes,1990-Q3,0,1,0.333333333,-1,C
Yes,1990-Q4,-0.666666667,1,-0.5,-0.6,C
Yes,1991-Q1,0.542857143,-0.636363636,-0.238095238,-0.222222222,C
Yes,1991-Q2,0.333333333,-1,-0.554166667,-1,C
Yes,1991-Q3,1,0.5,0.7,-0.12,C
Yes,1991-Q4,0.5,-0.5,0.416666667,0,C
Yes,1992-Q1,0.857142857,-0.2,0.566666667,0.555555556,C
Yes,1992-Q2,0.375,0.777777778,-0.081807082,0.5,C
Yes,1992-Q3,0.80952381,1,-0.055555556,0.375,C
Yes,1992-Q4,0.555555556,1,0.75,0,C
Yes,1993-Q1,0.425274725,0.407407407,0,-0.625,C
Yes,1993-Q2,0.666666667,0.714285714,-0.5,0,C
Yes,1993-Q3,0.666666667,1,0.25,1,C
Yes,1993-Q4,0.5,1,-0.111111111,-0.5,C
Yes,1994-Q1,0.428571429,-0.25,-0.583333333,0.55,C
Yes,1994-Q2,0.29047619,-0.25,-0.826388889,0.471428571,C
Yes,1994-Q3,0.666666667,1,0.071428571,0.3,C
Yes,1994-Q4,-0.245833333,1,0.430555556,0.433333333,C
Yes,1995-Q1,0.115384615,0.666666667,-0.166666667,-0.4,C
Yes,1995-Q2,0.666666667,0.733333333,0.277777778,0.047619048,C
Yes,1995-Q3,0.333333333,1,0.6,-0.333333333,C
Yes,1995-Q4,0.555555556,1,0.644444444,-0.444444444,C
Yes,1996-Q1,1,1,0.016666667,0,C
